CODE~ICAO~RES~DECS~NAME~LAT~LONG~ELEV~TZONE
LDI~~LINDI, TANZANIA~NO STA DATA~~~~~
LDJ~~LINDEN, NJ~NO STA DATA~~~~~
LDK~ESGL~LIDKOPING, SWEDEN~LIDKOPING SWEDEN~LIDKOPING AB~58.27.9N~013.10.4E~199~P01.0
LDM~~LUDINGTON, MI~NO STA DATA~~~~~
LDN~~LAMIDANDA, NEPAL~NO STA DATA~~~~~
LDO~~LADOUANIE, SURINAME~NO STA DATA~~~~~
LDP~~PAN AM, VENEZUELA~NO STA DATA~~~~~
LDR~~LODAR, YEMEN REPUBLIC~NO STA DATA~~~~~
LDS~~PRODUCT DVLPEMENT, TX~NO STA DATA~~~~~
LDT~~LONDON THEATRE TK, CANADA~NO STA DATA~~~~~
LDU~~LAHAD DATU, MALAYSIA~NO STA DATA~~~~~
LDW~~LANSDOWNE AU, AUSTRALIA~NO STA DATA~~~~~
LDX~~ST LAURENT MARONI, FRENCH GUIANA~NO STA DATA~~~~~
LDY~~LONDONDERRY, UNITED KINGDOM~NO STA DATA~~~~~
LDZ~~LONDOLOZI, SOUTH AFRICA~NO STA DATA~~~~~
LEA~YPLM~LEARMONTH, AUSTRALIA~LEARMONTH AUS~LEARMONTH~22.14.1S~114.05.3E~19~P08.0
LEB~KLEB~LEBANON HANOVER, NH~LEBANON, NEW HAMPSHIRE~LEBANON MUN~43.37.5N~072.18.2W~598~M05.0
LEC~~RESERVED 50, SINGAPORE~NO STA DATA~~~~~
LED~ULLI~ST PETERSBURG LED, RUSSIA~ST PETERSBURG, RUSSIA~PULKOVO~59.48.0N~030.15.9E~79~P03.0
LEE~~LEESBURG, FL~NO STA DATA~~~~~
LEF~~LEBAKENG, LESOTHO~NO STA DATA~~~~~
LEG~~ALEG, MAURITANIA~NO STA DATA~~~~~
LEH~LFOH~LE HAVRE, FRANCE~LEHAVRE,FRANCE~OCTEVILLE~49.32.0N~000.05.3E~312~P01.0
LEI~LEAM~ALMERIA, SPAIN~ALMERIA, SPAIN~ALMERIA~36.50.6N~002.22.2W~72~P01.0
LEJ~EDDP~LEIPZIG, GERMANY~LEIPZIG GERMANY~LEIPZIG-HALLE~51.24.9N~012.13.6E~466~P01.0
LEK~GULB~LABE, GUINEA~LABE GUINEA~TATA~11.19.5N~012.17.2W~3396~P00.0
LEL~~LAKE EVELLA, AUSTRALIA~NO STA DATA~~~~~
LEM~~LEMMON, SD~NO STA DATA~~~~~
LEN~~LEON, MEXICO~NO STA DATA~~~~~
LEO~~LECONI, GABON~NO STA DATA~~~~~
LEP~~LEOPOLDINA, BRAZIL~NO STA DATA~~~~~
LEQ~~LANDS END, UNITED KINGDOM~NO STA DATA~~~~~
LER~~LEINSTER, AUSTRALIA~NO STA DATA~~~~~
LES~~LESOBENG, LESOTHO~NO STA DATA~~~~~
LET~SKLT~LETICIA, COLOMBIA~LETICIA COLOMBIA~ALFREDO VASQUEZ COBO~04.11.4S~069.56.4W~277~M05.0
LEU~~SEO DE URGEL, SPAIN~NO STA DATA~~~~~
LEV~~BURETA, FIJI~NO STA DATA~~~~~
LEW~KLEW~LEWISTON ME, ME~AUBURN ME~AUBURN-LEWISTON MUN~44.02.9N~070.17.0W~288~M05.0
LEX~KLEX~LEXINGTON KY, KY~LEXINGTON KY~BLUE GRASS~38.02.2N~084.36.3W~980~M05.0
LEY~~AMSTERDAM, NETHERLANDS~NO STA DATA~~~~~
LEZ~~LA ESPERANZA, HONDURAS~NO STA DATA~~~~~
LFI~KLFI~LANGLEY AFB, VA~LANGLEY AFB/HAMPTON VA~LANGLEY AFB~37.04.9N~076.21.6W~11~M05.0
LFK~KLFK~LUFKIN NACODOCHES, TX~LUFKIN TX~ANGELINA CO~31.14.0N~094.45.0W~300~M06.0
LFO~~KELAFO, ETHIOPIA~NO STA DATA~~~~~
LFP~~LAKEFIELD, AUSTRALIA~NO STA DATA~~~~~
LFR~SVLF~LA FRIA, VENEZUELA~LA FRIA VENEZUELA~LA FRIA~08.15.0N~072.17.0W~305~M04.0
LFT~KLFT~LAFAYETTE LFT LA, LA~LAFAYETTE LA~LAFAYETTE REGL~30.12.3N~091.59.2W~42~M06.0
LFW~DXXX~LOME, TOGO~LOME TOGO~TOKOIN~06.09.7N~001.15.3E~72~P00.0
LGA~KLGA~NEW YORK LGA, NY~NYC/LGA~LA GUARDIA~40.46.6N~073.52.3W~22~M05.0
LGB~KLGB~LONG BEACH, CA~LONG BEACH CA~LONG BEACH~33.49.0N~BEACH CA~57~M08.0
LGC~KLGC~LA GRANGE, GA~CALLAWAY GA~CALLAWAY~33.00.5N~085.04.3W~693~M05.0
LGD~~LA GRANDE OR, OR~NO STA DATA~~~~~
LGE~~LAKE GREGORY, AUSTRALIA~NO STA DATA~~~~~
LGF~KLGF~LAGUNA AAF, AZ~LAGUNA AAF AZ~LAGUNA AAF~32.51.9N~114.23.5W~422~M07.0
LGG~EBLG~LIEGE, BELGIUM~BIERSET BELGIUM~LIEGE~50.38.2N~005.26.6E~658~P01.0
LGH~~LEIGH CREEK, AUSTRALIA~NO STA DATA~~~~~
LGI~~DEADMANS CAY, BAHAMAS~NO STA DATA~~~~~
LGK~WMKL~LANGKAWI, MALAYSIA~LANGKAWI, MAYALSIA~LANGKAWI INTL~06.20.2N~099.44.1E~29~P08.0
LGL~~LONG LELLANG, MALAYSIA~NO STA DATA~~~~~
LGM~~LAIAGAM, PAPUA NEW GUINE~NO STA DATA~~~~~
LGN~~LINGA LINGA, PAPUA NEW GUINE~NO STA DATA~~~~~
LGO~~LANGEOOG, GERMANY~NO STA DATA~~~~~
LGP~~LEGASPI, PHILIPPINES~NO STA DATA~~~~~
LGQ~SELA~LAGO AGRIO, ECUADOR~LGO AGRIO EQUADOR~LAGO AGRIO~00.05.5N~076.52.1W~981~M05.0
LGR~~COCHRANE, CHILE~NO STA DATA~~~~~
LGS~SAMM~MALARGUE, ARGENTINA~MALARGUE ARGENTINA~MALARGUE~35.28.7S~069.35.1W~4665~M06.0
LGT~~LAS GAVIOTAS, COLOMBIA~NO STA DATA~~~~~
LGU~KLGU~LOGAN, UT~LOGAN-CACHE UTAH~LOGAN-CACHE~41.47.2N~111.51.1W~4454~M07.0
LGW~EGKK~LONDON GATWICK, UNITED KINGDOM~LONDON-GATWICK~GATWICK~51.08.8N~000.11.3W~202~P00.0
LGX~~LUGH GANANE, SOMALIA~AMR SERVICES LAGUARDIA AIR~~~~1~P00.0
LGY~~LAGUNILLAS, VENEZUELA~NO STA DATA~~~~~
LGZ~~LEGUIZAMO, COLOMBIA~NO STA DATA~~~~~
LHA~~LAHR, GERMANY~LAHR AB GERMANY~~~~511~P01.0
LHB~~LOST HARBOR, AK~NO STA DATA~~~~~
LHC~~CABALLOCOCHA, PERU~NO STA DATA~~~~~
LHD~~LONDON HELP DESK, UNITED KINGDOM~NO STA DATA~~~~~
LHE~OPLA~LAHORE, PAKISTAN~LAHORE PAKISTAN~LAHORE~31.31.2N~074.24.1E~712~P05.0
LHF~~LH AIRPLUS, GERMANY~NO STA DATA~~~~~
LHG~~LIGHTNING RIDGE, AUSTRALIA~NO STA DATA~~~~~
LHI~~LEREH, INDONESIA~NO STA DATA~~~~~
LHN~~LISHAN, TAIWAN~NO STA DATA~~~~~
LHP~~LEHU, PAPUA NEW GUINE~PHILADELPHIA~~~~1~M05.0
LHQ~~L R I HOTELS, AZ~NO STA DATA~~~~~
LHR~EGLL~LONDON HEATHROW, UNITED KINGDOM~LONDON-HEATHROW~HEATHROW~51.28.6N~000.27.5W~80~P00.0
LHS~~LEXINGTON SVCS, TX~NO STA DATA~~~~~
LHT~~LON TKTS BY MAIL, UNITED KINGDOM~NO STA DATA~~~~~
LHU~~LAKE HAVASU CITY, AZ~NO STA DATA~~~~~
LHW~~LANZHOU, CHINA~NO STA DATA~~~~~
LHX~~LA JUNTA COL, CO~NO STA DATA~~~~~
LIB~~LIMBUNYA, AUSTRALIA~NO STA DATA~~~~~
LIC~~NOT IN TBL~AM HGR2 ACCTG CTL MATS~~~~676~M06.0
LID~EHVB~VALKENBURG NAVY, UNITED KINGDOM~LEIDEN NETHERLANDS~VALKENBURG NAVY~52.09.9N~004.25.0E~1~P01.0
LIE~~LIBENGE, ZAIRE REPUBLIC~NO STA DATA~~~~~
LIF~~LIFOU, NEW CALEDONIA~NO STA DATA~~~~~
LIG~LFBL~LIMOGES, FRANCE~BELLEGARDE FRANCE~BELLEGARDE~45.51.6N~001.10.8E~1299~P01.0
LIH~PHLI~LIHUE KAUAI, HI~LIHUE, HAWAII~LIHUE~21.58.5N~159.20.3W~153~M10.0
LII~~MULIA, INDONESIA~NO STA DATA~~~~~
LIJ~~LONG ISLAND, AK~NO STA DATA~~~~~
LIK~~LIKIEP, US PACIFIC IS~NO STA DATA~~~~~
LIL~LFQQ~LILLE, FRANCE~LILLE FRANCE~LESQUIN~50.33.8N~003.05.3E~157~P01.0
LIM~SPIM~LIMA PE, PERU~LIMA PERU~JORGE CHAVEZ INTL~12.01.1S~077.06.7W~112~M05.0
LIN~LIML~MILAN LINATE, ITALY~MILAN ITALY LINATE~LINATE~45.26.9N~009.16.7E~353~P01.0
LIO~~LIMON, COSTA RICA~NO STA DATA~~~~~
LIP~SBLN~NOT IN TBL~LINS BRAZIL~LINS~21.39.7S~049.43.8W~1563~M03.0
LIQ~~LISALA, ZAIRE REPUBLIC~NO STA DATA~~~~~
LIR~MRLB~LIBERIA, COSTA RICA~LIBERIA, COSTA RICA~DANIAL ODUBER QUIROS INTL~10.35.6N~085.32.7W~1~M06.0
LIS~~~~~~~~JS*LI
LIT~KLIT~LITTLE ROCK, AR~LITTLE ROCK AR~ADAMS~34.43.7N~092.13.4W~260~M06.0
LIU~~LINOSA, ITALY~NO STA DATA~~~~~
LIV~~LIVINGOOD, AK~NO STA DATA~~~~~
LIW~~LOIKAW, MYANMAR~NO STA DATA~~~~~
LIX~~LIKOMA ISLAND, MALAWI~NO STA DATA~~~~~
LIZ~~NOT IN TBL~LORING AFB/LIMESTONE ME~~~~746~M05.0
LJA~~LODJA, ZAIRE REPUBLIC~NO STA DATA~~~~~
LJG~~LIJIANG CITY, CHINA~NO STA DATA~~~~~
LJL~~STIN LARRY LYNCH, TX~NO STA DATA~~~~~
LJN~~LAKE JACKSON, TX~ANGLETON-LAKE JACKSON TX~~~~25~M06.0
LJU~LJLJ~LJUBLJANA, SLOVENIA~LJUBLJANA, SLOVENIA~LJUBLJANA~46.13.4N~014.27.6E~1273~P01.0
LKA~~LARANTUKA, INDONESIA~NO STA DATA~~~~~
LKB~~LAKEBA, FIJI~NO STA DATA~~~~~
LKC~KLKC~LEKANA, CONGO REPUBLIC~LAKE CITY, FLA~~30.10.9N~082.34.6W~201~M05.0
LKD~~LAKELAND DOWNS, AUSTRALIA~NO STA DATA~~~~~
LKE~~SEATTLE LKE UNION, WA~NO STA DATA~~~~~
LKH~~AA LUBBOCK SALES, TX~NO STA DATA~~~~~
LKK~~KULIK LAKE, AK~NO STA DATA~~~~~
LKL~ENNA~LAKSELV, NORWAY~LAKSELV NORWAY~BANAK AB~70.04.0N~024.58.5E~25~P01.0
LKM~~NEKEMPT, ETHIOPIA~NO STA DATA~~~~~
LKN~~LEKNES, NORWAY~NO STA DATA~~~~~
LKO~VILK~LUCKNOW, INDIA~LUCKNOW INDIA~LUCKNOW~26.45.7N~080.53.1E~400~P05.5
LKP~~LAKE PLACID, NY~NO STA DATA~~~~~
LKR~~LAS KOREH, SOMALIA~NO STA DATA~~~~~
LKS~~LAKESIDE, TX~NO STA DATA~~~~~
LKU~~LAKE RUDOLF, KENYA~NO STA DATA~~~~~
LKV~KLKV~LAKEVIEW, OR~LAKEVIEW OR~LAKE CO~42.09.6N~120.23.9W~4729~M08.0
LKY~~LAKE MANYARA, TANZANIA~NO STA DATA~~~~~
LKZ~EGUL~BRANDON, UNITED KINGDOM~LAKENHEATH AFB~LAKENHEATH AB~52.24.5N~000.33.7E~1021~P00.0
LLA~ESPA~LULEA, SWEDEN~LULEA SWEDEN~KALLAX AB~65.32.6N~022.07.6E~55~P01.0
LLC~~STIN LAURI CURTIS, TX~NO STA DATA~~~~~
LLD~~~~~~~~JS*LL
LLG~~CHILLAGOD, AUSTRALIA~NO STA DATA~~~~~
LLH~~LAS LIMAS, HONDURAS~NO STA DATA~~~~~
LLI~~LALIBELLA, ETHIOPIA~NO STA DATA~~~~~
LLL~~LISSADELL, AUSTRALIA~NO STA DATA~~~~~
LLN~~KELILA, INDONESIA~NO STA DATA~~~~~
LLO~~LOCALIZA RENTACAR, BRAZIL~NO STA DATA~~~~~
LLP~~LINDA DOWNS, AUSTRALIA~NO STA DATA~~~~~
LLT~~LANYON INC, TX~NO STA DATA~~~~~
LLU~~LUXOR HOTEL, NV~NO STA DATA~~~~~
LLV~~LV OB CONTROL, VENEZUELA~NO STA DATA~~~~~
LLW~FWLI~LILONGWE, MALAWI~LILONGWE MALAWI~LILONGWE INTL~13.47.2S~E MALAWI~4035~P02.0
LLX~~LYNDONVILLE, VT~NO STA DATA~~~~~
LLY~~MOUNT HOLLY, NJ~NO STA DATA~~~~~
LLZ~~LANYON LIMITED, UNITED KINGDOM~NO STA DATA~~~~~
LMA~~LAKE MINCHUMINA, AK~NO STA DATA~~~~~
LMB~~SALIMA, MALAWI~NO STA DATA~~~~~
LMC~~LAMACARENA, COLOMBIA~NO STA DATA~~~~~
LMD~~LOS MENUCOS, ARGENTINA~NO STA DATA~~~~~
LME~~LE MANS, FRANCE~NO STA DATA~~~~~
LMF~~MARKETING LONS, UNITED KINGDOM~NO STA DATA~~~~~
LMG~~LAMASSA, PAPUA NEW GUINE~NO STA DATA~~~~~
LMH~MRLM~NOT IN TBL~LIMON COSTA RICA~LIMON INTNL~09.57.6N~083.01.4W~7~M06.0
LMI~~LUMI, PAPUA NEW GUINE~NO STA DATA~~~~~
LML~~LAE ISLAND, US PACIFIC IS~NO STA DATA~~~~~
LMM~MMLM~LOS MOCHIS, MEXICO~LOS MOCHIS, MEXICO~LOS MOCHIS~25.41.1N~109.04.9W~14~M07.0
LMN~~LIMBANG, MALAYSIA~NO STA DATA~~~~~
LMO~EGQS~NOT IN TBL~LOSSIEMOUTH UK~LOSSIEMOUTH AB~57.42.3N~003.20.2W~42~P00.0
LMP~LICD~LAMPEDUSA, ITALY~LAMPEDUSA ITALY~LAMPEDUSA~35.29.7N~012.36.6E~72~P01.0
LMQ~~MARSA BREGA, LIBYA~NO STA DATA~~~~~
LMR~~LIME ACRES, SOUTH AFRICA~NO STA DATA~~~~~
LMS~~LOUISVILLE MS, MS~NO STA DATA~~~~~
LMT~KLMT~KLAMATH FALLS, OR~KLAMATH FALLS OR~KLAMATH FALLS INTL~42.09.3N~121.43.9W~4092~M08.0
LMX~~LOPEZ DE MICAY, COLOMBIA~NO STA DATA~~~~~
LMY~~LAKE MURRAY, PAPUA NEW GUINE~NO STA DATA~~~~~
LMZ~~PALMA, MOZAMBIQUE~NO STA DATA~~~~~
LNB~~LAMEN BAY, VANUATU~NO STA DATA~~~~~
LNC~~LENGBATI, PAPUA NEW GUINE~NO STA DATA~~~~~
LND~~LANDER, WY~NO STA DATA~~~~~
LNE~~LONDRORE, VANUATU~NO STA DATA~~~~~
LNF~~MUNBIL, PAPUA NEW GUINE~NO STA DATA~~~~~
LNG~~LESE, PAPUA NEW GUINE~NO STA DATA~~~~~
LNH~~LAKE NASH, AUSTRALIA~NO STA DATA~~~~~
LNI~~LONELY, AK~NO STA DATA~~~~~
LNK~KLNK~LINCOLN, NE~LINCOLN NE~LINCOLN MUN~40.51.0N~096.45.5W~1214~M06.0
LNL~~LAND O LAKES, WI~NO STA DATA~~~~~
LNM~~LANGIMAR, PAPUA NEW GUINE~NO STA DATA~~~~~
LNO~~LEONORA, AUSTRALIA~NO STA DATA~~~~~
LNP~KLNP~WISE, VA~WISE VA~LONESOME PINE~36.59.2N~082.31.8W~2685~M05.0
LNQ~~LOANI, PAPUA NEW GUINE~NO STA DATA~~~~~
LNS~KLNS~LANCASTER, PA~LANCASTER PA~LANCASTER~40.07.3N~076.17.7W~403~M05.0
LNT~~LEISURENET TIAS, AUSTRALIA~NO STA DATA~~~~~
LNV~~LITHIR ISLAND, PAPUA NEW GUINE~NO STA DATA~~~~~
LNX~~SMOLENSK, RUSSIA~NO STA DATA~~~~~
LNY~PHNY~LANAI, HI~LANAI CITY, HAWAII~LANAI~20.47.1N~156.57.0W~1308~M10.0
LNZ~LOWL~LINZ, AUSTRIA~LINZ,AUSTRIA~LINZ~48.14.1N~014.11.3E~978~P01.0
LOA~~LORRAINE, AUSTRALIA~NO STA DATA~~~~~
LOB~~LO TUNG, TAIWAN~NO STA DATA~~~~~
LOC~~LOCK, AUSTRALIA~NO STA DATA~~~~~
LOD~~LONGANA, VANUATU~NO STA DATA~~~~~
LOE~~LOEI, THAILAND~NO STA DATA~~~~~
LOF~~LOEN, US PACIFIC IS~NO STA DATA~~~~~
LOG~~LONGVIEW WA, WA~NO STA DATA~~~~~
LOH~~LOJA, ECUADOR~NO STA DATA~~~~~
LOI~~LONTRAS SC, BRAZIL~NO STA DATA~~~~~
LOK~~LODWAR, KENYA~NO STA DATA~~~~~
LOL~KLOL~LOVELOCK, NV~LOVELOCK NV~DERBY~40.03.9N~118.33.9W~3903~M08.0
LOM~~LAGOS DE MORENO, MEXICO~NO STA DATA~~~~~
LON~~LONDON UK, UNITED KINGDOM~LONDON~~~~0~P00.0
LOO~~LAGHOUAT, ALGERIA~NO STA DATA~~~~~
LOP~~LOW PRIORITY, TX~NO STA DATA~~~~~
LOQ~~LOBATZE, BOTSWANA~NO STA DATA~~~~~
LOR~~OZARK LOWE HELI, AL~NO STA DATA~~~~~
LOS~DNMM~LAGOS, NIGERIA~LAGOS NIGERIA~MURTALA MUHAMMED~06.34.4N~003.19.1E~135~P01.0
LOU~KLOU~NOT IN TBL~LOUISVILLE BOWMAN FLD~BOWMAN~38.13.6N~085.39.7W~547~M05.0
LOV~~MONCLOVA, MEXICO~NO STA DATA~~~~~
LOW~~LOUISA, VA~NO STA DATA~~~~~
LOY~~LOLYANGALANI, KENYA~NO STA DATA~~~~~
LOZ~KLOZ~LONDON KY, KY~LONDON CORBIN MAGEE KY~LONDON-CORBIN/MAGEE~37.05.2N~084.04.6W~1212~M05.0
LPA~~GRAN CANARIA, SPAIN~~~~~~JS*LP
LPB~SLLP~LA PAZ BO, BOLIVIA~LA PAZ BOLIVIA~J F KENNEDY INTL~16.30.6S~068.10.8W~13313~M04.0
LPC~~LOMPOC, CA~NO STA DATA~~~~~
LPD~~LA PEORERA, COLOMBIA~NO STA DATA~~~~~
LPE~~LA PRIMAVERA, COLOMBIA~NO STA DATA~~~~~
LPG~~LA PLATA, ARGENTINA~LA PLATA ARGENTINA~~ARGENTINA~~69~M03.0
LPH~~LOCHGILPHEAD, UNITED KINGDOM~NO STA DATA~~~~~
LPI~ESSL~LINKOPING, SWEDEN~LINKOPING SWEDEN~SAAB~58.24.3N~015.40.7E~172~P01.0
LPJ~~PIJIGUAOS, VENEZUELA~NO STA DATA~~~~~
LPK~~LIPETSK, RUSSIA~NO STA DATA~~~~~
LPL~EGGP~LIVERPOOL, UNITED KINGDOM~LIVERPOOL, UNITED KINGDOM~LIVERPOOL~53.20.0N~002.50.9W~81~P00.0
LPM~~LAMAP, VANUATU~NO STA DATA~~~~~
LPO~~LA PORTE, IN~NO STA DATA~~~~~
LPP~EFLP~LAPPEENRANTA, FINLAND~LAPPEENRANTA, FINLAND~LAPPEENRANTA~61.02.7N~028.09.1E~349~P02.0
LPQ~~LUANG PRABANG, LAO PEOPLES DEM~NO STA DATA~~~~~
LPS~~LOPEZ ISLAND, WA~NO STA DATA~~~~~
LPT~~LAMPANG, THAILAND~NO STA DATA~~~~~
LPU~~LONG APUNG, INDONESIA~NO STA DATA~~~~~
LPW~~LITLE PORT WALTER, AK~NO STA DATA~~~~~
LPX~~LIEPAYA, LATVIA~NO STA DATA~~~~~
LPY~~LE PUY, FRANCE~NO STA DATA~~~~~
LQK~~PICKENS, SC~NO STA DATA~~~~~
LQM~~PUERTO LEGUIZAM, COLOMBIA~NO STA DATA~~~~~
LQN~~QALA NAU, AFGHANISTAN~NO STA DATA~~~~~
LRA~LGLR~LARISA, GREECE~LARISA AB GREECE~LARISA AB~39.38.9N~022.26.9E~241~P02.0
LRB~~LERIBE, LESOTHO~NO STA DATA~~~~~
LRC~ETUL~LAARBRUCH, GERMANY~LAARBRUCH, GERMANY~LAARBRUCH AB~51.36.2N~006.08.6E~105~P01.0
LRD~KLRD~LAREDO INTL, TX~LAREDO TX~LAREDO INTL~27.32.6N~099.27.6W~508~M06.0
LRE~~LONGREACH, AUSTRALIA~NO STA DATA~~~~~
LRF~KLRF~LITTLE ROCK AFB, AR~LITTLE ROCK AFB~LITTLE ROCK AFB~34.54.9N~092.08.7W~311~M06.0
LRG~~LORA LAI, PAKISTAN~NO STA DATA~~~~~
LRH~LFBH~LA ROCHELLE, FRANCE~LALEU FRANCE~LALEU~46.10.8N~001.11.1W~72~P01.0
LRI~~LORICA, COLOMBIA~NO STA DATA~~~~~
LRL~DXNG~LAMA KARA, TOGO~NIAMTOUGOU TOGO~NIAMTOUGOU~09.46.6N~001.05.6E~1513~P00.0
LRM~MDLR~LA ROMANA, DOMINICAN REP~LAROMANA, CASA DE CAMPO~LA ROMANA INTL~18.24.6N~068.56.5W~27~M04.0
LRQ~~LAURIE RIVER, CANADA~NO STA DATA~~~~~
LRR~~CHICAGO RES, IL~NO STA DATA~~~~~
LRS~~LEROS, GREECE~NO STA DATA~~~~~
LRT~LFRH~LORIENT, FRANCE~LANN-BIHQUE NAVY FRANCE~LANN-BIHOUE NAVY~47.45.6N~003.26.3W~161~P01.0
LRU~KLRU~LAS CRUCES, NM~LAS CRUCES NM~LAS CRUCES INTL~32.17.3N~106.55.3W~4454~M07.0
LRV~~~NO STA DATA~~~~~
LSA~~LOSUIA, PAPUA NEW GUINE~NO STA DATA~~~~~
LSB~~LORDSBURG, NM~NO STA DATA~~~~~
LSC~SCSE~LA SERENA, CHILE~LA SERENA CHILE~LA FLORIDA~29.54.6S~071.11.8W~479~M04.0
LSE~KLSE~LACROSSE, WI~LA CROSSE WI~LA CROSSE MUN~43.52.7N~091.15.3W~653~M06.0
LSF~KLSF~LAWSON AAF, GA~FT BENNING GA~LAWSON AAF~32.20.2N~084.59.3W~232~M05.0
LSG~~LEISURE SABRE GRP, TX~NO STA DATA~~~~~
LSH~~LASHIO, MYANMAR~NO STA DATA~~~~~
LSI~~SHETLAND SUMBURGH, UNITED KINGDOM~NO STA DATA~~~~~
LSK~~LUSK, WY~NO STA DATA~~~~~
LSL~~LOS CHILES, COSTA RICA~NO STA DATA~~~~~
LSM~~LONG SEMADO, MALAYSIA~NO STA DATA~~~~~
LSO~~LES SABLES, FRANCE~NO STA DATA~~~~~
LSP~SVJC~LAS PIEDRAS, VENEZUELA~LAS PIEDRAS VENEZUELA~JOSEFA CAMEJO INTL~11.46.7N~070.08.9W~76~M04.0
LSQ~~LOS ANGELES CL, CHILE~NO STA DATA~~~~~
LSR~~LOST RIVER, AK~NO STA DATA~~~~~
LSS~~TERRE DE HAUT, GUADELOUPE~NO STA DATA~~~~~
LST~YMLT~LAUNCESTON, AUSTRALIA~LAUNCESTON TAS~LAUNCESTON~41.32.7S~147.12.8E~562~P10.0
LSU~~LONG SUKANG, MALAYSIA~NO STA DATA~~~~~
LSV~KLSV~NELLIS AFB, NV~NELLIS AFB/LAS VEGAS NV~NELLIS AFB~36.14.1N~115.02.0W~1868~M08.0
LSW~~LHOKSEUMAWE, INDONESIA~NO STA DATA~~~~~
LSX~~LHOK SUKON, INDONESIA~AMR SVC LAS VEGAS, NV~~~~1~P00.0
LSY~~LISMORE, AUSTRALIA~NO STA DATA~~~~~
LSZ~~MALI LOSINJ, CROATIA~NO STA DATA~~~~~
LTA~FATZ~TZANEEN, SOUTH AFRICA~ATLANTA~TZANEEN~23.49.3S~030.19.5E~1~M05.0
LTB~~LATROBE AU, AUSTRALIA~NO STA DATA~~~~~
LTC~~LAI, CHAD~NO STA DATA~~~~~
LTD~~GHADAMES, LIBYA~NO STA DATA~~~~~
LTF~~LEITRE, PAPUA NEW GUINE~NO STA DATA~~~~~
LTG~~LANGTANG, NEPAL~NO STA DATA~~~~~
LTH~~LATHROP WELLS, NV~NO STA DATA~~~~~
LTI~~ALTAI, MN~NO STA DATA~~~~~
LTK~OSLK~LATAKIA, SYRIA~LATAKIA, SYRIA~BASEL AL-ASSAD INTL~KIA, SYRIA~035.56.7E~157~P02.0
LTL~~LASTOURVILLE, GABON~NO STA DATA~~~~~
LTM~~LETHEM, GUYANA~NO STA DATA~~~~~
LTN~EGGW~LONDON LUTON, UNITED KINGDOM~LONDON GB~LUTON~51.52.4N~000.22.0W~525~P00.0
LTO~MMLT~LORETO, MEXICO~LORETO, MEXICO~LORETO INTL~25.59.4N~111.20.8W~10~M06.0
LTP~~LYNDHURST, AUSTRALIA~NO STA DATA~~~~~
LTQ~LFAT~LE TOUQUET, FRANCE~PARIS-PLAGE FRANCE~PARIS-PLAGE~50.30.9N~001.37.7E~36~P01.0
LTS~KLTS~ALTUS, OK~ALTUS AFB~ALTUS AFB~34.39.8N~099.16.4W~1382~M06.0
LTT~~ST TROPEZ, FRANCE~NO STA DATA~~~~~
LTU~~LA TOUCHE, AK~NO STA DATA~~~~~
LTV~~LOTUSVALE, AUSTRALIA~NO STA DATA~~~~~
LTW~~LEONARDTOWN, MD~NO STA DATA~~~~~
LTX~~LONDON THEATRE UK, CANADA~NO STA DATA~~~~~
LUA~~LUKLA, NEPAL~NO STA DATA~~~~~
LUB~~LUMID PAU, GUYANA~NO STA DATA~~~~~
LUC~~LAUCALA ISLAND, FIJI~NO STA DATA~~~~~
LUD~~LUDERITZ, NAMIBIA~NO STA DATA~~~~~
LUE~~LUCENEC, SLOVAKIA~NO STA DATA~~~~~
LUF~KLUF~LUKE AFB, AZ~LUKE AFB AZ~LUKE AFB~33.32.0N~112.22.9W~1090~M07.0
LUG~~LUGANO, SWITZERLAND~NO STA DATA~~~~~
LUH~~LUDHIANA, INDIA~NO STA DATA~~~~~
LUI~~LA UNION, HONDURAS~NO STA DATA~~~~~
LUJ~~LUSIKISIKI, SOUTH AFRICA~NO STA DATA~~~~~
LUK~KLUK~CINCINNATI LUNKEN, OH~CINCINNATI-LUNKEN~CINCINNATI-LUNKEN~39.06.2N~084.25.1W~484~M05.0
LUL~KLUL~LAUREL, MS~HESLER-NOBLE MISS~HESLER-NOBLE~31.40.3N~089.10.3W~238~M06.0
LUM~~LUXI, CHINA~NO STA DATA~~~~~
LUN~FLLS~LUSAKA, ZAMBIA~LUSAKA ZAMBIA~LUSAKA INTL~15.19.6S~028.27.3E~3779~P02.0
LUO~~LUENA, ANGOLA~NO STA DATA~~~~~
LUP~~KALAUPAPA, HI~NO STA DATA~~~~~
LUQ~SAOU~SAN LUIS, ARGENTINA~SAN LUIS ARGENTINA~SAN LUIS~33.16.6S~066.21.1W~2329~M03.0
LUR~~CAPE LISBURNE, AK~NO STA DATA~~~~~
LUS~~LUSANGA, ZAIRE REPUBLIC~NO STA DATA~~~~~
LUT~~LAURA STATION, AUSTRALIA~TULSA~~~~1~M05.0
LUU~~LAURA, AUSTRALIA~NO STA DATA~~~~~
LUV~~LANGGUR, INDONESIA~NO STA DATA~~~~~
LUW~~LUWUK, INDONESIA~NO STA DATA~~~~~
LUX~ELLX~LUXEMBOURG, LUXEMBOURG~LUXEMBOURG~LUXEMBOURG~49.37.4N~006.12.3E~1234~P01.0
